keyword,received_response,search_nil_item,translation
宣传部+中共+分析+形势,TRUE,federation_empty,Propaganda Department + CCP + Analysis + Situation
经济增长+预期+全面建成小康社会+脱贫,TRUE,,Economic growth + expectations + building a well-off society in an all-round way + alleviating poverty
习近平+肆意妄为,TRUE,federation_empty,Xi Jinping + wanton
讲规矩+守纪律+全面从严治党+孙力军,TRUE,,Keeping the rules + observing discipline + administering the party strictly + Sun Lijun
孙力军+习总,TRUE,federation_empty,Sun Lijun + President Xi
无症状+确诊病例+医学观察+封闭式管理,TRUE,,Asymptomatic + confirmed case + medical observation + closed management
错觉+谴责+某些人的个人意志+荒谬,TRUE,,Illusion + condemnation + some people's personal will + absurdity
新冠病毒+泄漏+武汉实验室,TRUE,,New Coronavirus + Leak + Wuhan Laboratory
总会+大白于天下+病毒+比如说,TRUE,,Always + Great White in the World + Virus + For example
规定+确诊病例+官员+病毒,TRUE,,Regulations + confirmed cases + officials + viruses
法案+主席+病毒+對香港,TRUE,,Bill + Chairman + Virus + To Hong Kong
中共+法案+主席+參議院,TRUE,hit_dirt_words,CCP + Bill + Chairman + Senate
官員+法案+李文亮+提出,TRUE,,Official + Bill + Li Wenliang + Propose
在美国+确诊病例+暴力+病毒,TRUE,,In the U.S. + confirmed cases + violence + virus
安然度过+不想死+病毒+感到恐惧,TRUE,,Spent safely + don't want to die + virus + feel fear
确诊病例+美国总统+特朗普+病毒,TRUE,,Confirmed case + U.S. President + Trump + virus
疫情+中共+孤儿+民政部,TRUE,federation_empty,Epidemic + CCP + Orphans + Ministry of Civil Affairs
撒+非洲+600亿,TRUE,,Spread + Africa + 60 billion
贫困+习主席+鼓吹,TRUE,federation_empty,Poverty + Chairman Xi + Advocacy
人道主义灾难+习主席,TRUE,federation_empty,Humanitarian disaster + President Xi
分析+病毒传播+都没有+北京,TRUE,,Analysis + virus transmission + none + Beijing
确诊病例+中共+普京+俄罗斯,TRUE,hit_dirt_words,Confirmed cases + CCP + Putin + Russia
香港+中英+民主派人士+北京,TRUE,,Hong Kong + China and Britain + Democrats + Beijing
反中亂港分子+蓬佩奧+醜惡行徑,TRUE,federation_empty,Anti-China gangsters + Pompeo + ugly acts
警方+國政+政治+北京,TRUE,,Police + State Affairs + Politics + Beijing
恐惧+庆丰,TRUE,,Fear + Qingfeng
庆丰+强推,TRUE,,Qingfeng + strong push
修正+特朗普+病例死亡+病毒,TRUE,,Correction + Trump + case death + virus
疯狂且反社会+特朗普+收治能力,TRUE,,Crazy and anti-social + Trump + admission ability
入京+士兵+现在,TRUE,,Entering Beijing + Soldiers + Now
联合国+有关+向世卫+外交部,TRUE,,United Nations + related + to WHO + Ministry of Foreign Affairs
肺炎+刁+亲自,TRUE,,Pneumonia + Diao + personally
直播+王健+郭,TRUE,,Live + Wang Jian + Guo
中共+确诊病例+研究+向世界,TRUE,hit_dirt_words,CCP + confirmed cases + research + to the world
任总+言论自由,TRUE,,President Ren + Freedom of Speech
上街+政府+病毒+香港,TRUE,,Going to the streets + government + virus + Hong Kong
修正+意味着+确诊病例+病毒,TRUE,,Correction + means + confirmed case + virus
得不到+治疗+制度+现象,,,No access + treatment + system + phenomenon
习近平+妖魔化,TRUE,federation_empty,Xi Jinping + Demonization
习近平+警惕中国,TRUE,federation_empty,Xi Jinping + Beware of China
秘密发展+全印+诉状+中国赔偿+生物武器,TRUE,,Secret Development + All India + Complaint + Chinese Compensation + Biological Weapons
相信+英文+特朗普+政治,TRUE,,Believe + English + Trump + Politics
偏袒中国+世卫组织+隐瞒疫情+特朗普,TRUE,,Favoring China + WHO + concealing the epidemic + Trump
翻墙+皇帝,,,Over the Wall + Emperor
得不到+治疗+制度+现象,TRUE,,No access + treatment + system + phenomenon
习近平+妖魔化,TRUE,federation_empty,Xi Jinping + Demonization
习近平+警惕中国,TRUE,federation_empty,Xi Jinping + Beware of China
秘密发展+全印+诉状+中国赔偿+生物武器,TRUE,,Secret Development + All India + Complaint + Chinese Compensation + Biological Weapons
相信+英文+特朗普+政治,,,Believe + English + Trump + Politics
偏袒中国+世卫组织+隐瞒疫情+特朗普,TRUE,,Favoring China + WHO + concealing the epidemic + Trump
翻墙+皇帝,TRUE,,Over the Wall + Emperor
联合国+国际合作+特朗普+病毒,TRUE,,United Nations + International Cooperation + Trump + Virus
陆路口岸+中国公民,TRUE,,Land port + Chinese citizens
大陆+解放军+军力+航母编队,TRUE,,Mainland + People's Liberation Army + Military Power + Aircraft Carrier Formation
解放军+战备+在台湾+航母编队,TRUE,,PLA + combat readiness + in Taiwan + aircraft carrier formation
丁允恭+防疫+责任与目标+辽宁号,TRUE,,Ding Yungong + epidemic prevention + responsibility and goal + Liaoning
统一+国民党+台独+马英九,TRUE,hit_dirt_words,Reunification + Kuomintang + Taiwan Independence + Ma Ying-jeou
政治化+形象+冠状病毒,TRUE,,Politicization + image + coronavirus
感恩+政府+主席+生命,TRUE,,Thanksgiving + government + chairman + life
建制派+民主派+權力+主席,TRUE,hit_dirt_words,Establishment + Democrats + Power + Chairman
召见+哈萨克斯坦+外交部+回归中国,TRUE,,Summon + Kazakhstan + Ministry of Foreign Affairs + Return to China
逆全球化+得罪了全世界+小粉红,TRUE,,Reverse globalization + offend the world + little pink
出国留学+央妈+朱镕基+贬值,TRUE,federation_empty,Study abroad + Yang Ma + Zhu Rongji + devaluation
400多+资源+纽约时报,TRUE,,400+ resources + New York Times
流浪的手机+灭顶的家门+找到主人,TRUE,,Wandering mobile phone + extinct home + find the owner
陆肆+事件,TRUE,federation_empty,Lu Si + event
甩锅+国家主席+指挥,TRUE,federation_empty,Shake the pot + President + Command
政治操弄+国家主席,TRUE,federation_empty,Political manipulation + state chairman
演唱+歌唱家+最可爱的人,TRUE,,Singing + singer + cutest person
警方+犯法+特權+公民黨,TRUE,hit_dirt_words,Police + Crime + Privilege + Civic Party
官员+有关+病毒+顾问,TRUE,,Official + related + virus + consultant
享受自由+發言人+華春瑩,TRUE,,Enjoy freedom + spokesperson + Hua Chunying
警察+紐約時報+離開中國+華春瑩,TRUE,,Police + New York Times + Leaving China + Hua Chunying
警察+紐約時報+華春瑩+公安,TRUE,,Police + New York Times + Hua Chunying + Public Security
在推特上+确诊病例+特朗普+病毒,TRUE,,On Twitter + confirmed cases + Trump + virus
被隔离+蔡奇,TRUE,federation_empty,Quarantine + Cai Qi
嫁祸+任总,TRUE,,Blame + Ren
疫情+前所未有+病毒+陷入,TRUE,,Epidemic + unprecedented + virus + trapped
研究+有关+病毒+援引,TRUE,,Research + Related + Virus + Citation
中聯辦+權力+中央+對香港,TRUE,federation_empty,Liaison Office + Power + Central Government + To Hong Kong
基本法+中聯辦+主席+中央,TRUE,federation_empty,Basic Law + Liaison Office + Chairman + Central Committee
基本法+中聯辦+政府+中央,TRUE,federation_empty,Basic Law + Liaison Office + Government + Central Government
北京条约+特朗普,TRUE,,Beijing Treaty + Trump
向世衞+人傳人+特朗普+病毒,TRUE,,To WHO + human-to-human transmission + Trump + virus
主席+预计+研究+病毒,TRUE,,Chairman + Projection + Research + Virus
无症状+确诊病例+重新开放+病毒,TRUE,,Asymptomatic + confirmed case + reopening + virus
政府+病毒+政治+起源于,TRUE,,Government + virus + politics + originated from
下作+总书记,TRUE,federation_empty,Next work + general secretary
主席+中聯辦+梁國雄+社民連,TRUE,federation_empty,Chairman + Liaison Office + Liang Guoxiong + Social People's Company
习近平+在高新,TRUE,federation_empty,Xi Jinping + in Gaoxin
两会+研究+分析+北京,TRUE,,Two sessions + research + analysis + Beijing
我们已经+研究+有关+病毒,TRUE,,We have + research + related + virus
甩锅+赵立坚+病毒来源,TRUE,federation_empty,Shaking pot + Zhao Lijian + source of virus
中共+生产+运转+基本民生,TRUE,hit_dirt_words,CCP + production + operation + basic people's livelihood
要求+中共+考察+提出,TRUE,hit_dirt_words,Request + CCP + Investigation + Propose
參選+法律+反修例+政權,TRUE,federation_empty,Candidate + law + anti-amendment law + political power
習近平+權力+中央+國務院,TRUE,federation_empty,Xi Jinping + Power + Central Committee + State Council
港澳辦+追責,TRUE,,Hong Kong and Macau Office + Accountability
人權+政府+病毒+合理,TRUE,hit_dirt_words,Human Rights + Government + Virus + Reasonable
中聯辦+基本法+一國兩制+政府,TRUE,federation_empty,"Liaison Office + Basic Law + One Country, Two Systems + Government"
习近平+取代美国,TRUE,federation_empty,Xi Jinping + replaces the United States
习近平+在美国+政府+特朗普,TRUE,federation_empty,Xi Jinping + in the United States + government + Trump
撒钱+一带一路,TRUE,hit_dirt_words,Spread money + One Belt One Road
主席+k un,TRUE,,Chairman+k un
数据显示+预计+重新开放+病毒,TRUE,,Data show + expected + reopening + virus
研究+有关+研制+病毒,TRUE,,Research + Related + Development + Virus
马关条约+特朗普,TRUE,,Shimonoseki Treaty + Trump
确诊病例+逐人排查+病毒+生命,TRUE,,Confirmed cases + investigation on a case-by-case basis + virus + life
受到影响+确诊患者,TRUE,,Affected + confirmed patients
在万州+总书记,TRUE,federation_empty,In Wanzhou + General Secretary
维尼+卢旺达,TRUE,,Pooh + Rwanda
国家主席+公开信,TRUE,federation_empty,President + Open Letter
感染病毒+研究+呈陽性+病毒檢測,TRUE,hit_dirt_words,Virus infection + research + positive + virus test
主席+有关+病毒+分析,TRUE,,Chairman+related+virus+analysis
香港+台灣+政府+不容置疑,TRUE,,Hong Kong + Taiwan + Government + Undoubtedly
領導人+Bright+辱華,TRUE,,Leader+Bright+Insult China
社交平台+中共+拥有,TRUE,hit_dirt_words,Social platform + CCP + owned
敢不敢+广州黑人+终于发飙,TRUE,,Dare to + Guangzhou Negro + finally go crazy
大陸+台灣+外交部+台方,TRUE,,Mainland China + Taiwan + Ministry of Foreign Affairs + Taiwan
呼籲+台灣+總統+外交部,TRUE,,Appeal + Taiwan + President + Ministry of Foreign Affairs
请愿+总书记,TRUE,federation_empty,Petition + general secretary
駐法大使+擅離職守+生命+西方國家,TRUE,,Ambassador to France + leave without permission + life + western countries
无症状+确诊病例+俄罗斯+密切接触,TRUE,,Asymptomatic + confirmed case + Russia + close contact
中共+確診+國外+超過,TRUE,hit_dirt_words,CCP + diagnosed + foreign + over
封城+确诊病例+西班牙+病毒,TRUE,,City closure + confirmed cases + Spain + virus
武漢+研究+劍橋大學+病毒,TRUE,,Wuhan + Research + Cambridge University + Virus
罗斯福+中共+航母+病毒,TRUE,hit_dirt_words,Roosevelt + CCP + Aircraft Carrier + Virus
建制派+失败+选举,TRUE,hit_dirt_words,Establishment + defeat + election
标志性+任总,TRUE,,Iconic + Ren
皇帝+雾霾,TRUE,,Emperor + smog
新冠病毒+洩露+武漢實驗室,TRUE,,New crown virus + leak + Wuhan laboratory
病毒+美國總統+特朗普+死亡人數,TRUE,,Virus + U.S. President + Trump + death toll
体制+俄罗斯+病毒+北京,TRUE,,System + Russia + Virus + Beijing
人傳人+向世衛+特朗普+病毒,TRUE,,Person-to-person + to WHO + Trump + virus
俄羅斯+中共+蘇聯+外交部,TRUE,hit_dirt_words,Russia + CCP + Soviet Union + Ministry of Foreign Affairs
外交+中共+聯合國+北京,TRUE,hit_dirt_words,Diplomacy + CCP + United Nations + Beijing
政治局委員+美國國務院+楊潔篪+中方,,,Member of the Politburo + U.S. State Department + Yang Jiechi + China
首都+沙特+病毒+中东,TRUE,,Capital + Saudi Arabia + Virus + Middle East
第一任+国母,TRUE,federation_empty,First term + mother
相信+背景+经济学者,TRUE,,Believe + background + economist
四散逃亡+冰涼防線+夢魘,TRUE,,Fleeing in all directions + cold defense + nightmare
白骨如山+歌舞昇平,,,Bone like a mountain + singing and dancing
发言人+模拟器,TRUE,,Speaker + simulator
台灣+武漢+肺炎+中央,TRUE,,Taiwan + Wuhan + Pneumonia + Central
贸易战+支持特朗普,TRUE,,Trade war + support Trump
干预香港+基本法+主席+立法会,TRUE,,Intervention in Hong Kong + Basic Law + Chairman + Legislative Council
习近平+黑天鹅+经济下行,TRUE,federation_empty,Xi Jinping + Black Swan + Economic Downturn
黑天鹅+经济下行+总书记,TRUE,federation_empty,Black Swan + Economic Downturn + General Secretary
基本法+中聯辦+一國兩制+主席,TRUE,federation_empty,"Basic Law + Liaison Office + One Country, Two Systems + Chairman"
被封+民主+推特账号+就是一个,TRUE,,Blocked + Democracy + Twitter account + just one
香港+干預+習近平,TRUE,federation_empty,Hong Kong + Intervention + Xi Jinping
回国+女儿+习总,TRUE,federation_empty,Returning home + daughter + President Xi
习近平+游行示威,TRUE,federation_empty,Xi Jinping + demonstration
假的+视察+总书记,TRUE,federation_empty,False + inspection + general secretary
习近平+肺炎+言论自由,TRUE,federation_empty,Xi Jinping + pneumonia + freedom of speech
增速预期+预计+经济增速+分析,TRUE,,Growth forecast + forecast + economic growth + analysis
国政+体制+民主+政治家,TRUE,,National politics + system + democracy + politician
v,TRUE,,v
照片+侮辱+领导人,TRUE,,Photo + insult + leader
香港+辱包,TRUE,,Hong Kong + humiliation package
选举+民进党+国民党+台湾人,TRUE,hit_dirt_words,Election + DPP + Kuomintang + Taiwanese
Bright+领导人+图片,,,Bright+leader+picture
领导人+泰国+图片,TRUE,,Leader+Thailand+Picture
国外+有关+中央+健康管理,TRUE,,Foreign + Related + Central + Health Management
會否影響+失去抗疫時機+中美關係,TRUE,,Will it affect + lose the opportunity to fight the epidemic + Sino-US relations
同仁+病毒+王毅+北京,TRUE,federation_empty,Colleagues + Virus + Wang Yi + Beijing
駐法大使+疫情+外交官+外長+不符合,TRUE,,Ambassador to France + Epidemic + Diplomat + Foreign Minister + Non-compliance
西方國家+擅離職守+病毒+駐法大使,TRUE,,Western countries + leave without permission + virus + ambassador to France
李大夫+天大委屈+奇耻大辱,TRUE,,Doctor Li + great grievance + great shame
习近平+黑鬼,TRUE,federation_empty,Xi Jinping + nigger
民主派議員+主持會議+運作+北京,TRUE,,Democrats + Chairperson + Operation + Beijing
基本法+主席+立法會+權力,TRUE,,Basic Law + Chairman + Legislative Council + Power
任总+404,TRUE,,President Ren+404
伊方+两国人民+中伊+中东,TRUE,,Iran + two peoples + China and Iran + Middle East
規定+病毒+確診病例+隱瞞病情,TRUE,,Regulation + virus + confirmed case + concealment of condition
政府+向世卫+特朗普+战争,TRUE,,Government+Who+Trump+War
中共+政府+主席+病毒,TRUE,hit_dirt_words,CCP + government + chairman + virus
研究+进一步+病毒+当局,TRUE,,Research + further + virus + authority
大使+反華+病死+不符合+西方,,,Ambassador + Anti-China + Death + Inconsistent + West
确诊病例+主权+病毒+生命,TRUE,,Confirmed cases + sovereignty + virus + life
政治化+人传人+政府+病毒,TRUE,,Politicization + person-to-person transmission + government + virus
应急+法律+诉讼+分析,TRUE,,Emergency + law + litigation + analysis
被出卖+大大,TRUE,,Betrayed + greatly
艾芬医生+报平安+发哨人+自拍视频,TRUE,,Doctor Ai Fen + report safety + whistleblower + selfie video
体制+爱国+制度+民主,TRUE,,System + patriotism + system + democracy
爱国+政府+都是在+感恩,TRUE,,Patriotic + government + all in + gratitude
反映民意+林鄭+制度+暴力,TRUE,,Reflect public opinion + Lam Cheng + system + violence
美聯社:中國官員瞞疫6天始示警,TRUE,,Associated Press: Chinese officials warned about 6 days of hiding the epidemic
內部文件+習近平+國家主席+官員,TRUE,federation_empty,Internal documents + Xi Jinping + President + officials
疫情+中心+中央+不相信,TRUE,,Epidemic + Center + Central + Don't Believe
国民党+苏贞昌+民进党立委+行政院长,TRUE,hit_dirt_words,Kuomintang + Su Zhenchang + DPP legislator + Executive Yuan
国民党+苏贞昌+交通部+行政院长,TRUE,hit_dirt_words,Kuomintang + Su Zhenchang + Ministry of Communications + President
联合新闻+更名+苏贞昌+行政院长,TRUE,hit_dirt_words,United News + Change of Name + Su Zhenchang + President
有关+确诊病例+研究+训练,TRUE,,Related + confirmed cases + research + training
无症状+确诊病例+黑龙江省+代市长,,,Asymptomatic + confirmed case + Heilongjiang Province + acting mayor
出口+预计+病毒+综合,TRUE,,Export + Forecast + Virus + Comprehensive
研究+有关+特朗普+生命,TRUE,,Research + Related + Trump + Life
无症状+确诊病例+疾病预防控制+密切接触,,,Asymptomatic + confirmed case + disease prevention and control + close contact
无症状+确诊病例+常委+密切接触,TRUE,hit_dirt_words,Asymptomatic + confirmed case + standing committee + close contact
香港+自由西,TRUE,,Hong Kong + Liberty West
两会+中共+政策+北京,TRUE,hit_dirt_words,Two Sessions + CCP + Policy + Beijing
黑鬼+领导人,TRUE,,Nigga + leader
大陆+民进党+联合早报+当局,TRUE,,Mainland China + DPP + Lianhe Zaobao + Authorities
刻意挖出+文革+极左分子+武汉日记,TRUE,hit_dirt_words,Deliberately dig out + Cultural Revolution + ultra-leftists + Wuhan diary
在西安+总书记,TRUE,federation_empty,In Xi'an + General Secretary
体现+主席+权力+责任,TRUE,,Embodiment + chairman + power + responsibility
阅兵+皇帝,TRUE,,Parade + Emperor
香港+違憲+法院+禁蒙面法,TRUE,,Hong Kong + unconstitutional + court + ban on masking law
头+P的+总书记,TRUE,federation_empty,Head + P's + General Secretary
林鄭自爆忙裡偷閒,TRUE,,Lin Zheng blew himself up
预计+生产+病毒+联邦政府,TRUE,,Expected + production + virus + federal government
甩锅+特朗普+总书记,TRUE,federation_empty,Dumping + Trump + General Secretary
底线思维+习近平+外部环境+处境,TRUE,federation_empty,Bottom line thinking + Xi Jinping + external environment + situation
政治局扩大会议+最高领导人,TRUE,federation_empty,Enlarged Politburo Meeting + Supreme Leader
基本法+主席+中央+公職人員,TRUE,,Basic Law + Chairman + Central Government + Public Officials
中共+泛民+公民黨+奪權,TRUE,hit_dirt_words,CCP + Pan-Democracy + Civic Party + Seize Power
中共+政府+增长+变成,TRUE,hit_dirt_words,CCP + government + growth + become
政府+林鄭+主席+港府,TRUE,,Government + Lam Cheng + Chairman + Hong Kong Government
发展中国家+撒钱,TRUE,hit_dirt_words,Developing countries + money
香港+中聯辦+公民黨+公職人員,TRUE,federation_empty,Hong Kong + Liaison Office + Civic Party + Public Official
中聯辦+法律+基本法+公職人員,TRUE,federation_empty,Liaison Office + Law + Basic Law + Public Official
民意的權力+中聯辦+扼殺+郭榮鏗,TRUE,federation_empty,The power of public opinion + Liaison Office + Strangulation + Guo Rongkeng
维尼+反对,TRUE,,Pooh + opposed
维尼+议员,TRUE,,Pooh + MP
警察+法律+性侵+强奸,TRUE,,Police + law + sexual assault + rape
自杀未遂+杰瑞+性侵+警方,TRUE,,Attempted suicide + Jerry + sexual assault + police
害怕+美国+国家元首,TRUE,hit_dirt_words,Fear + America + Head of State
严某+核酸检测,TRUE,,Yan + nucleic acid detection
中聯辦+主席+權力+公職人員,TRUE,federation_empty,Liaison Office + Chairman + Power + Public Official
公職人員+中聯辦+法律+政治,TRUE,federation_empty,Public officials + Liaison Office + Law + Politics
有關+中聯辦+主席+立法會,TRUE,federation_empty,About + Liaison Office + Chairman + Legislative Council
戴口罩+人传人+生产+病毒,TRUE,,Wear a mask + person-to-person transmission + production + virus
疫情+马化腾+公开信,TRUE,,Epidemic + Ma Huateng + Open Letter
春雷计划+虚假,TRUE,hit_dirt_words,Chunlei plan + false
无症状+病毒+密切接触+卫生部,TRUE,federation_empty,Asymptomatic + virus + close contact + Ministry of Health
独裁+冠状病毒,TRUE,hit_dirt_words,Dictatorship + Coronavirus
相信+國家+病毒+北京,TRUE,,Believe + Country + Virus + Beijing
顧問+提供+目前為止+提出,TRUE,,Consultant+Provide+So far+Propose
中共+涉及+至少+政策,TRUE,hit_dirt_words,CCP + involved + at least + policy
中共+生产+核心+设备,TRUE,hit_dirt_words,CCP + production + core + equipment
日本企业+撤离中国+报销,TRUE,,Japanese companies + withdrawal from China + reimbursement
大大+广东+公开信,TRUE,,Great + Guangdong + Open Letter
政治化+有关+特朗普+病毒,TRUE,,Politicization + related + Trump + virus
确诊病例+俄罗斯+目前为止+病毒,,,Confirmed cases + Russia + so far + virus
第一夫人+爆料,TRUE,federation_empty,First lady + broke the news
联合国+中共+国务院+政治,TRUE,federation_empty,United Nations + Chinese Communist Party + State Council + Politics
越南渔船+外交部+南海+中方,,,Vietnamese fishing boat + Ministry of Foreign Affairs + South China Sea + China
疫情+中共+至少+北京,TRUE,hit_dirt_words,Epidemic + CCP + at least + Beijing
提出+生产+常委会+习近平+要求,TRUE,federation_empty,Put forward + production + standing committee + Xi Jinping + request
台灣+研究+病毒+政治,TRUE,,Taiwan + research + virus + politics
高达+确诊病例+生产+生命,TRUE,,Up to + confirmed cases + production + life
大大+害怕+特朗普,TRUE,,Big + scared + Trump
找替罪羊+病毒+报道称+中方,TRUE,,Scapegoat + virus + report + Chinese
无症状+确诊病例+政府+当局,TRUE,,Asymptomatic + confirmed case + government + authority
民主党+法案+确诊病例+预期,TRUE,,Democrats + bills + confirmed cases + expectations
反弹+生日+总书记,TRUE,federation_empty,Rebound + birthday + general secretary
政府+媒体炒作+骨灰+利用网络,TRUE,,Government + media hype + ashes + use of the Internet
川普总统+政府+出口+病毒,TRUE,,President Trump + Government + Export + Virus
习近平+二婚,TRUE,federation_empty,Xi Jinping + Second Marriage
在宁波+皇帝,TRUE,,In Ningbo + Emperor
下台+任总,TRUE,,Step down + President Ren
红会+维稳,TRUE,,Red society + stability maintenance
无症状+中共+病毒+密切接触,TRUE,hit_dirt_words,Asymptomatic + CCP + virus + close contact
习+病毒+动森,TRUE,,Xi + Virus + Dongsen
粮食进口+农业生产+减少+粮食危机,TRUE,,Food import + agricultural production + reduction + food crisis
国民+政府+中共+区域,TRUE,hit_dirt_words,National + Government + CCP + Region
祭奠+领导人,TRUE,,Memorial + leader
确诊病例+高官+病毒+战争,TRUE,,Confirmed cases + senior officials + virus + war
偉大的美利堅,TRUE,,Great America
官员+政府+现象+病毒+说法,TRUE,,Official + government + phenomenon + virus + argument
大陆+生产+接下来+统一,TRUE,,Mainland + Production + Next + Unity
主席+悲剧+广场,TRUE,,Chairman + tragedy + square
习近平胸,TRUE,federation_empty,Xi Jin Flat Chest
法案+反华+特朗普+病毒,TRUE,hit_dirt_words,Act + Anti-China + Trump + Virus
任总+经济问题,TRUE,,President Ren + economic issues
研究+病毒+不明原因+人傳人,TRUE,,Research + virus + unknown cause + person-to-person transmission
批評最高領導人,TRUE,federation_empty,Criticize the supreme leader
紅二代+任大炮,TRUE,federation_empty,Red Second Generation + Ren Cannon
紅二代+任志強,TRUE,federation_empty,Red Second Generation + Ren Zhiqiang
任大炮+敢言,TRUE,federation_empty,Ren Dapao + dare to speak
國家主席+任志強,TRUE,federation_empty,National President + Ren Zhiqiang
空军+战备+国军+防空,TRUE,,Air Force + Combat Readiness + National Army + Air Defense
國家+政府+政策+使用,TRUE,hit_dirt_words,State + government + policy + use
法律+政府+中共+政策,TRUE,hit_dirt_words,Law + government + CCP + policy
中共+川普+政府+法律,TRUE,hit_dirt_words,CCP + Trump + Government + Law
大跌+下台+大大,TRUE,,Big drop + step down + big
隔离+哀悼+总书记,TRUE,federation_empty,Isolation + mourning + general secretary
回家+任志強,TRUE,federation_empty,Home + Ren Zhiqiang
